team_name,cosmos_addr,chain_id,rpc
Source,cosmos1qz2s5unwu3l4hn2jw09cnsd3muvrcerezm9c52,source-xgoz-1b,tcp://goz.source.network:26657
Stake Capital,cosmos1c6vyd9sqmxslqkrqtn84det6ukefrxrnwru66p,stake-capital-1b,tcp://goz.stakedao.org:26657
Stakebird,cosmos1ar20w6rf4ulfljld7xaj4qjklyulr5myw0xqt6,stakebird-1b,tcp://goz.stakebird.com:26657
Staked,cosmos1w8ueuqk007aqy33tgfx5yveatlfamapwty47p0,staked-ibc-1b,tcp://ibc.staked.cloud:26657
stakematic,cosmos1pzgw03td8l5hsa3e6jert6gpjfratxxsm32adg,stakematic-1b,tcp://35.198.125.128:26657
StakesStone,cosmos1dx2jqcrjfd3y9mvdd56t54j7pa2wgx2qqk0tx2,stakesstonechain-1b,tcp://5.181.51.80:26657
stakewolf,cosmos1auhk88eyt7y4paywhtv3ykqfzfkmtjzk57aynt,wolfwolf-1b,tcp://stakewolf.com:26657
Stakin,cosmos1atkhc2che0en0yzy5prh00wqwn5nhclvlgymrm,stakin-1b,tcp://161.35.45.178:26657
staking-defense,cosmos1c00l9xvwmh4f77pwnnnh5x0fww0x245sdlzlxg,staking-defense-1b,tcp://goz.stakingdefense.org:26657
Staking Fund,cosmos1a533d3t2k5pynxh3hn3mzjhwe9jmeskqxh3cz9,stakingfund-1b,tcp://ibc.staking.fund:26657
StarCluster,cosmos16gp9q9euupf2m96cvv7kta7q09h8ce0cl6wky9,starcluster-1337-1b,tcp://goz.starcluster.tech:26657
Stratus,cosmos1gx77frp5shnhnf2ffupt6mp97nalxsyav7mphq,stardust-1111-1b,tcp://stratus.mycryptobets.com:26657
Dapps Inc.,cosmos1vxnhz4jzs5qushcfrdwg3ptp28nfevpg3u78hu,stateset-1b,tcp://35.209.174.13:26657
Team Stoner,cosmos15dgc2xv3l28vqy9n6r8q7aya5s37zdu2phjxm8,stoner-ibc-1b,tcp://157.230.75.134:26657
